tourney_date,player_name,rank,rank_points,age
2024-09-13,Seong Chan Hong,141.0,413.0,27.1
2024-09-13,Murkel Alejandro Dellien Velasco,183.0,324.0,26.9
2024-09-13,Juan Pablo Varillas,179.0,331.0,28.9
2024-09-13,Cem Ilkel,474.0,87.0,29.0
2024-09-13,Mate Valkusz,402.0,117.0,26.0
2024-09-13,Min Kyu Song,,,34.0
2024-09-13,Kristjan Tamm,978.0,15.0,26.2
2024-09-13,Conor Gannon,1294.0,5.0,22.2
2024-09-13,Skander Mansouri,681.0,41.0,29.1
2024-09-13,Rigele Te,636.0,48.0,26.9
2024-09-13,Gabi Adrian Boitan,364.0,136.0,25.1
2024-09-14,Ioannis Xilas,770.0,29.0,23.3
2024-09-14,Demetris Azoides,1054.0,12.0,23.9
2024-09-14,Siddharth Vishwakarma,588.0,57.0,29.9
2024-09-14,N Sriram Balaji,,,34.4
2024-09-14,Ki Lung Ng,2102.0,1.0,23.1
2024-09-14,Marcos Lee Chan Baratau,1320.0,5.0,18.8
2024-09-14,Jack Cheng,1600.0,2.0,15.6
2024-09-14,Yousaf Khalil,,,25.4
2024-09-14,Muhammad Shoaib,,,22.5
2024-09-14,Philip Hjorth,880.0,20.0,25.5
2024-09-14,Aqeel Khan,,,44.6
2024-09-14,Jose Rubin Statham,837.0,23.0,37.3
2024-09-14,Henri Squire,187.0,314.0,23.9
2024-09-14,Davis Rolis,,,19.6
2024-09-14,Alan Fernando Rubio Fierros,707.0,38.0,25.5
2024-09-14,Gonzalo Escobar,,,35.6
2024-09-14,Hugo Nys,,,33.5
2024-09-18,Yasutaka Uchiyama,160.0,370.0,32.1
2024-10-02,Egor Gerasimov,304.0,170.0,31.8
2024-10-14,Alexey Vatutin,336.0,148.0,31.9
2024-10-14,Aslan Karatsev,139.0,425.0,31.1
2024-10-21,Dominic Thiem,318.0,162.0,31.1
2024-11-04,Theo Papamalamis,721.0,37.0,18.8
2024-11-19,Rafael Nadal,154.0,380.0,38.4
2024-12-30,Alejandro Moro Canas,169.0,345.0,24.0
2025-01-06,Isaac Becroft,980.0,15.0,24.1
2025-01-13,Omar Jasika,179.0,323.0,27.6
2025-01-13,Gauthier Onclin,239.0,242.0,23.8
2025-01-13,Thanasi Kokkinakis,71.0,766.0,28.7
2025-01-27,Dominik Koepfer,118.0,515.0,30.7
2025-01-27,Lucas Pouille,104.0,575.0,30.9
2025-01-27,Gregoire Barrere,144.0,406.0,30.9
2025-01-27,Mikhail Kukushkin,112.0,541.0,37.0
2025-01-31,Tsung Hao Huang,680.0,42.0,25.1
2025-01-31,San Hui Sin,665.0,44.0,27.8
2025-01-31,Gerard Campana Lee,381.0,127.0,20.3
2025-01-31,Daniel Masur,265.0,202.0,30.2
2025-01-31,Yshai Oliel,531.0,69.0,25.0
2025-01-31,Jozef Kovalik,127.0,484.0,32.2
2025-01-31,John Peers,,,36.5
2025-01-31,Courtney John Lock,2068.0,1.0,28.2
2025-01-31,Saba Purtseladze,450.0,93.0,23.4
2025-01-31,Aleksa Krivokapic,,,21.7
2025-01-31,Petar Jovanovic,938.0,17.0,21.5
